sentence,target
Companies Thetrainline.com announces arrival of London IPO,"[{""target"":""Thetrainline.com"",""aspect"":""Stock"",""sentiment"":0.245}]"
Breakingviews: IAG can pay more for Aer Lingus,"[{""target"":""IAG"",""aspect"":""Corporate"",""sentiment"":0.12}]"
Tesco share price jumps as Q3 sales top estimates,"[{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":0.719}]"
CRH's concrete bid for Holcim Lafarge assets,"[{""target"":""Holcim Lafarge"",""aspect"":""Stock"",""sentiment"":0.282}]"
Persimmon share price climbs on 23% rise in full-year revenue,"[{""target"":""Persimmon"",""aspect"":""Stock"",""sentiment"":0.975}]"
Ruling sets lower limit on potential fine for BP,"[{""target"":""BP"",""aspect"":""Corporate"",""sentiment"":-0.261}]"
Reed Elsevier share price slides on underwhelming full-year results,"[{""target"":""Reed Elsevier"",""aspect"":""Stock"",""sentiment"":-0.526}]"
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,"[{""target"":""Meggitt"",""aspect"":""Stock"",""sentiment"":0.021}]"
Slump in Weir leads FTSE down from record high,"[{""target"":""Weir"",""aspect"":""Market"",""sentiment"":-0.827}]"
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,"[{""target"":""Bunzl"",""aspect"":""Corporate"",""sentiment"":0.401}]"
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,"[{""target"":""Lloyds"",""aspect"":""Corporate"",""sentiment"":0.522}]"
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,"[{""target"":""Novartis"",""aspect"":""Corporate"",""sentiment"":0.189}]"
Meggitt share price tumbles as profit falls in 'challenging year',"[{""target"":""Meggitt"",""aspect"":""Stock"",""sentiment"":-0.854}]"
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,"[{""target"":""Astrazeneca"",""aspect"":""Market"",""sentiment"":-0.12}]"
ARM Royalties Accelerate as Smartphone Market Regains Strength,"[{""target"":""ARM"",""aspect"":""Market"",""sentiment"":0.571}]"
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,"[{""target"":""ConAgra"",""aspect"":""Corporate"",""sentiment"":0.101}]"
BG Group appoints new CEO one month early,"[{""target"":""BG Group"",""aspect"":""Corporate"",""sentiment"":0.069}]"
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin","[{""target"":""Lonmin"",""aspect"":""Corporate"",""sentiment"":-0.314}]"
U.S. Debt Lures Schroders as ECB Depresses Rates,"[{""target"":""Schroders"",""aspect"":""Economy"",""sentiment"":0.048}]"
Tullow Oil Suspends Dividend Amid Oil Price Fall,"[{""target"":""Tullow Oil"",""aspect"":""Corporate"",""sentiment"":-0.498}]"
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...","[{""target"":""Royal Dutch Shell"",""aspect"":""Corporate"",""sentiment"":-0.402}]"
Standard Chartered lags on capital worries,"[{""target"":""Standard Chartered"",""aspect"":""Corporate"",""sentiment"":-0.358}]"
Standard Life share price: Insurer buys advice firm Pearson Jones,"[{""target"":""Standard Life"",""aspect"":""Corporate"",""sentiment"":0.364}]"
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,"[{""target"":""Dixons Carphone"",""aspect"":""Corporate"",""sentiment"":0.129},{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.295}]"
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,"[{""target"":""MillerCoors"",""aspect"":""Stock"",""sentiment"":0.495}]"
RBS will reportedly appoint Howard Davies as its next chairman,"[{""target"":""RBS"",""aspect"":""Corporate"",""sentiment"":0.089}]"
HSBC Hit by Fresh Details of Tax Evasion Claims,"[{""target"":""HSBC"",""aspect"":""Corporate"",""sentiment"":-0.594}]"
Relief for Lewis as Tesco sees sales grow for first time in a year,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.42}]"
Morrisons finance chief to fill gap as CEO leaves early,"[{""target"":""Morrisons"",""aspect"":""Corporate"",""sentiment"":-0.114}]"
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive","[{""target"":""Persimmon"",""aspect"":""Stock"",""sentiment"":0.937}]"
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,"[{""target"":""Lafarge Holcim"",""aspect"":""Corporate"",""sentiment"":0.365}]"
Tesco shareholders back ITV head for chairman,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.139}]"
"Buffett's Berkshire builds Deere stake, dumps Exxon","[{""target"":""Deere"",""aspect"":""Stock"",""sentiment"":0.316},{""target"":""Exxon"",""aspect"":""Stock"",""sentiment"":-0.548}]"
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,"[{""target"":""Aviva"",""aspect"":""Corporate"",""sentiment"":-0.675}]"
AstraZeneca's patent on asthma drug invalidated by US court,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":-0.656}]"
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,"[{""target"":""Rolls-Royce"",""aspect"":""Corporate"",""sentiment"":-0.075}]"
Whitbread share price climbs on Q4 sales growth,"[{""target"":""Whitbread"",""aspect"":""Stock"",""sentiment"":0.513}]"
Warren Buffett defends Berkshire Hathaway's conglomerate structure,"[{""target"":""Berkshire Hathaway"",""aspect"":""Corporate"",""sentiment"":0.144}]"
G4S sees profits rise but UK contract problems remain,"[{""target"":""G4S"",""aspect"":""Corporate"",""sentiment"":0.252}]"
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,"[{""target"":""Friends Life"",""aspect"":""Corporate"",""sentiment"":0.387}]"
Auto Trader share price surges as company floats on LSE,"[{""target"":""Auto Trader"",""aspect"":""Stock"",""sentiment"":0.655}]"
New Credit Suisse boss faces stiff challenge in Asia,"[{""target"":""Credit Suisse"",""aspect"":""Corporate"",""sentiment"":-0.181}]"
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February","[{""target"":""Aer Lingus"",""aspect"":""Corporate"",""sentiment"":0.284},{""target"":""EasyJet"",""aspect"":""Corporate"",""sentiment"":0.315}]"
Is It Worth Investing In Tesco PLC And Prudential plc Now?,"[{""target"":""Tesco PLC"",""aspect"":""Corporate"",""sentiment"":0.161}]"
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,"[{""target"":""Friends Life"",""aspect"":""Market"",""sentiment"":0.516}]"
Sainsbury's says to outperform rivals in tough market,"[{""target"":""Sainsbury"",""aspect"":""Market"",""sentiment"":0.536}]"
CompaniesKingfisher bid for Mr Bricolage runs into trouble,"[{""target"":""Mr Bricolage"",""aspect"":""Corporate"",""sentiment"":-0.253}]"
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,"[{""target"":""Auto Trader"",""aspect"":""Stock"",""sentiment"":0.641}]"
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls","[{""target"":""Ashtead"",""aspect"":""Market"",""sentiment"":0.514},{""target"":""Barclays"",""aspect"":""Market"",""sentiment"":-0.657},{""target"":""Tailor Wimpey"",""aspect"":""Market"",""sentiment"":0.508}]"
GSK and Novartis complete deals to reshape both drugmakers,"[{""target"":""Novartis"",""aspect"":""Corporate"",""sentiment"":0.264}]"
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger","[{""target"":""Friends Life"",""aspect"":""Corporate"",""sentiment"":0.39}]"
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,"[{""target"":""OneMain"",""aspect"":""Corporate"",""sentiment"":0.283},{""target"":""Springleaf"",""aspect"":""Corporate"",""sentiment"":0.225}]"
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb","[{""target"":""Tullow"",""aspect"":""Stock"",""sentiment"":0.544}]"
British American Tobacco drops and sues PwC over pollution scandal,"[{""target"":""PwC"",""aspect"":""Stock"",""sentiment"":-0.437}]"
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,"[{""target"":""Prudential"",""aspect"":""Market"",""sentiment"":-0.651}]"
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit","[{""target"":""Cadbury's"",""aspect"":""Corporate"",""sentiment"":-0.158},{""target"":""Kraft"",""aspect"":""Corporate"",""sentiment"":-0.179}]"
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,"[{""target"":""Kraft"",""aspect"":""Corporate"",""sentiment"":0.214}]"
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,"[{""target"":""Daiichi Sankyo"",""aspect"":""Corporate"",""sentiment"":0.364},{""target"":""Movantik"",""aspect"":""Corporate"",""sentiment"":0.369}]"
RBI surprises Street; Sensex pares gains after hitting mount 30k,"[{""target"":""Sensex"",""aspect"":""Stock"",""sentiment"":-0.216}]"
Credit Suisse poaches Prudential's Thiam for Asian push,"[{""target"":""Credit Suisse"",""aspect"":""Corporate"",""sentiment"":0.125},{""target"":""Prudential"",""aspect"":""Corporate"",""sentiment"":-0.031}]"
Kingfisher takeover of Mr Bricolage could hit a brick wall,"[{""target"":""Mr Bricolage"",""aspect"":""Corporate"",""sentiment"":-0.311}]"
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall","[{""target"":""Shell"",""aspect"":""Stock"",""sentiment"":-0.508}]"
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,"[{""target"":""Friends Life"",""aspect"":""Stock"",""sentiment"":0.053}]"
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,"[{""target"":""Daiichi Sankyo"",""aspect"":""Corporate"",""sentiment"":0.361},{""target"":""MOVANTIK"",""aspect"":""Corporate"",""sentiment"":0.454}]"
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,"[{""target"":""MediaCityUK"",""aspect"":""Stock"",""sentiment"":0.379}]"
Randgold profit hit by poor gold price but dividend still increases,"[{""target"":""Rangold"",""aspect"":""Corporate"",""sentiment"":-0.052}]"
"CompaniesTravis Perkins lifts dividend, earnings rise 15%","[{""target"":""Travis Perkins"",""aspect"":""Corporate"",""sentiment"":0.494}]"
Market Report: Aviva tops the market as traders approve of its choice of Friends,"[{""target"":""Friends"",""aspect"":""Market"",""sentiment"":0.443}]"
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,"[{""target"":""Standard Bank"",""aspect"":""Corporate"",""sentiment"":0.025}]"
"FDA panel backs safety updates for AstraZeneca, Takeda drugs","[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.143},{""target"":""Takeda"",""aspect"":""Corporate"",""sentiment"":-0.198}]"
CompaniesDiageo stays neutral on India boardroom turmoil,"[{""target"":""Diageo"",""aspect"":""Corporate"",""sentiment"":0.0}]"
Germanwings disaster will not affect image of budget air travel - easyJet,"[{""target"":""Germanwings"",""aspect"":""Corporate"",""sentiment"":-0.046},{""target"":""easyJet"",""aspect"":""Corporate"",""sentiment"":0.096}]"
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,"[{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":-0.345}]"
Shell offers 50 percent premium to buy BG for $70 billion,"[{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":0.193}]"
WPP boosts sales despite cautious clients,"[{""target"":""WPP"",""aspect"":""Corporate"",""sentiment"":0.251}]"
Shell to buy BG Group in $69.7 billion takeover,"[{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":0.25}]"
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,"[{""target"":""Standard Chartered"",""aspect"":""Stock"",""sentiment"":0.556}]"
UPDATE 1-BP shareholders back more disclosure on climate change risks,"[{""target"":""BP"",""aspect"":""Corporate"",""sentiment"":0.037}]"
Shell challenges Exxon dominance with 47 billion-pound bid for BG,"[{""target"":""Exxon"",""aspect"":""Corporate"",""sentiment"":-0.196},{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":0.078}]"
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,"[{""target"":""Royal Dutch Shell"",""aspect"":""Corporate"",""sentiment"":0.259}]"
City spirits sink after Diageo comes up short with sales slide,"[{""target"":""Diageo"",""aspect"":""Corporate"",""sentiment"":-0.521}]"
Diageo receives reports from United Spirits on financial irregularities involving ...,"[{""target"":""Diageo"",""aspect"":""Corporate"",""sentiment"":-0.255},{""target"":""United Spirits"",""aspect"":""Corporate"",""sentiment"":-0.272}]"
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,"[{""target"":""Rolls-Royce"",""aspect"":""Corporate"",""sentiment"":0.777}]"
Tesco sales rise shows tentative recovery continues,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.256}]"
Diageo sales disappoint as currency and comparatives leave bitter taste,"[{""target"":""Diageo"",""aspect"":""Corporate"",""sentiment"":-0.545}]"
AstraZeneca profit down as sales of stalwarts fade,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":-0.405}]"
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO","[{""target"":""Whitbread"",""aspect"":""Corporate"",""sentiment"":0.385}]"
Glencore blames rivals for creating metals glut,"[{""target"":""Glencore"",""aspect"":""Corporate"",""sentiment"":-0.331}]"
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,"[{""target"":""GlaxoSmithKline"",""aspect"":""Corporate"",""sentiment"":-0.221}]"
easyJet leads Britain's FTSE lower as global bond rout resumes,"[{""target"":""easyJet"",""aspect"":""Market"",""sentiment"":-0.495}]"
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,"[{""target"":""Imperial Tobacco"",""aspect"":""Corporate"",""sentiment"":0.336}]"
BG Group Still Happy With Shell's $70 Billion Offer,"[{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":0.235}]"
SABMiller buys Meantime to quench thirst for craft beer,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.296}]"
Aviva shuts Friends Life head office in rapid integration move,"[{""target"":""Friends Life"",""aspect"":""Corporate"",""sentiment"":-0.09}]"
Retailers Kingfisher and Sports Direct rise in Britain's share index,"[{""target"":""Sports Direct"",""aspect"":""Stock"",""sentiment"":0.459}]"
"GlaxoSmithKline targets growth across units, scraps ViiV IPO","[{""target"":""GlaxoSmithKline"",""aspect"":""Stock"",""sentiment"":0.229}]"
Tesco share price closes higher as two more directors leave grocer,"[{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":0.354}]"
Tesco leads FTSE higher on Clubcard bid reports,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.453}]"
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,"[{""target"":""Eli Lilly & Co"",""aspect"":""Stock"",""sentiment"":0.516}]"
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct","[{""target"":""Old Mutual"",""aspect"":""Corporate"",""sentiment"":0.724}]"
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean","[{""target"":""BP"",""aspect"":""Corporate"",""sentiment"":-0.121},{""target"":""Halliburton"",""aspect"":""Corporate"",""sentiment"":-0.042}]"
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,"[{""target"":""GlaxoSmithKline"",""aspect"":""Stock"",""sentiment"":-0.408}]"
Glencore chief blames rivals' overproduction for share price fall,"[{""target"":""Glencore"",""aspect"":""Stock"",""sentiment"":-0.301}]"
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs","[{""target"":""BAT"",""aspect"":""Corporate"",""sentiment"":-0.152},{""target"":""Philip Morris"",""aspect"":""Corporate"",""sentiment"":-0.152}]"
Hargreaves Lansdown share price falls as costs mount - although pensions ...,"[{""target"":""Hargreaves Lansdown"",""aspect"":""Stock"",""sentiment"":-0.514}]"
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","[{""target"":""Centrica"",""aspect"":""Corporate"",""sentiment"":0.195},{""target"":""Serco"",""aspect"":""Corporate"",""sentiment"":0.122}]"
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,"[{""target"":""Integrated Silicon Solution"",""aspect"":""Stock"",""sentiment"":0.461}]"
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge","[{""target"":""RBS"",""aspect"":""Corporate"",""sentiment"":-0.69}]"
MillerCoors Board Names Gavin Hattersley Interim CEO,"[{""target"":""MillerCoors"",""aspect"":""Corporate"",""sentiment"":0.0}]"
"Britain's FTSE gains, Land Securities up after dividend hike","[{""target"":""Land Securities"",""aspect"":""Corporate"",""sentiment"":0.549}]"
"Britain's FTSE bounces back, Mondi and Barratt lead","[{""target"":""Barratt"",""aspect"":""Stock"",""sentiment"":0.558},{""target"":""Mondi"",""aspect"":""Stock"",""sentiment"":0.552}]"
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,"[{""target"":""Old Mutual"",""aspect"":""Corporate"",""sentiment"":0.689}]"
Do it for me' trend underpins UK sales growth at Kingfisher,"[{""target"":""Kingfisher"",""aspect"":""Corporate"",""sentiment"":0.304}]"
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...","[{""target"":""Lidl"",""aspect"":""Corporate"",""sentiment"":0.372}]"
"Centrica extends gas deals with Gazprom, Statoil","[{""target"":""Gazprom"",""aspect"":""Corporate"",""sentiment"":0.199},{""target"":""Statoil"",""aspect"":""Corporate"",""sentiment"":0.239}]"
"Aberdeen AM posts H1 outflows, says conditions to remain challenging","[{""target"":""Aberdeen AM"",""aspect"":""Market"",""sentiment"":-0.364}]"
Severn Trent share price jumps as Canadian investor renews pursuit of utility,"[{""target"":""Severn Trent"",""aspect"":""Stock"",""sentiment"":0.433}]"
New Morrisons duo get former boss's support to diffuse investor tension,"[{""target"":""Morrisons"",""aspect"":""Corporate"",""sentiment"":0.143}]"
S&P downgrades Barclays and RBS on government bailout fears,"[{""target"":""RBS"",""aspect"":""Stock"",""sentiment"":-0.53}]"
Irish housebuilder Cairn Homes plans London listing,"[{""target"":""Cairn Homes"",""aspect"":""Stock"",""sentiment"":0.189}]"
Arm slammed by handset sales outlook,"[{""target"":""Arm"",""aspect"":""Corporate"",""sentiment"":-0.41}]"
CompaniesLSE adds ex-SEC head Schapiro to board,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":0.076}]"
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":-0.41}]"
FTSE 100 flat; Standard Chartered leads risers,"[{""target"":""Standard Chartered"",""aspect"":""Stock"",""sentiment"":0.589}]"
CompaniesHoward Davies appointment as RBS director delayed,"[{""target"":""RBS"",""aspect"":""Corporate"",""sentiment"":-0.025}]"
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,"[{""target"":""Standard Life"",""aspect"":""Corporate"",""sentiment"":-0.09}]"
Dixons Carphone profit boost on strong sales,"[{""target"":""Dixons Carphone"",""aspect"":""Corporate"",""sentiment"":0.478}]"
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury","[{""target"":""Sainsbury"",""aspect"":""Stock"",""sentiment"":0.334},{""target"":""StanChart"",""aspect"":""Market"",""sentiment"":0.465}]"
"Royal Mail, Johnson Matthey lead FTSE lower","[{""target"":""Royal Mail"",""aspect"":""Market"",""sentiment"":-0.438}]"
Sainsbury sales slip again as price pressures take a toll,"[{""target"":""Sainsbury"",""aspect"":""Stock"",""sentiment"":-0.303}]"
Sophos aims to raise $100m in London IPO,"[{""target"":""Sophos"",""aspect"":""Stock"",""sentiment"":0.214}]"
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,"[{""target"":""Lehman"",""aspect"":""Corporate"",""sentiment"":0.164}]"
Borealis Infrastructure putting together new Severn Trent bid,"[{""target"":""Severn Trent"",""aspect"":""Corporate"",""sentiment"":0.214}]"
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids","[{""target"":""easyjet"",""aspect"":""Corporate"",""sentiment"":-0.414}]"
Johnson Matthey share price slumps as company posts full-year results,"[{""target"":""Johnson Matthey"",""aspect"":""Stock"",""sentiment"":-0.626}]"
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,"[{""target"":""Barclays"",""aspect"":""Corporate"",""sentiment"":0.199},{""target"":""Lehman"",""aspect"":""Corporate"",""sentiment"":0.239}]"
Petrofac books further Â£30m cost for Shetland gas terminal delays,"[{""target"":""Petrofac"",""aspect"":""Corporate"",""sentiment"":-0.343}]"
Petrofac share price rises despite Â£30m costs on North Sea project,"[{""target"":""Petrofac"",""aspect"":""Stock"",""sentiment"":0.09}]"
Whitbread boss Andy Harrison defends sales fall as 'just a blip',"[{""target"":""Whitbread"",""aspect"":""Corporate"",""sentiment"":-0.1}]"
Barclays share price subdued as bank faces fresh forex probe,"[{""target"":""Barclays"",""aspect"":""Stock"",""sentiment"":-0.373}]"
CompaniesActelion shares hit record on Shire takeover talk,"[{""target"":""Actelion"",""aspect"":""Corporate"",""sentiment"":0.721},{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.345}]"
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":0.247}]"
Diageo Shares Surge on Report of Possible Takeover by Lemann,"[{""target"":""Lemann"",""aspect"":""Stock"",""sentiment"":0.415}]"
RBS chairman admits surprise at size of regulatory penalties,"[{""target"":""RBS"",""aspect"":""Corporate"",""sentiment"":-0.333}]"
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,"[{""target"":""Towergate"",""aspect"":""Corporate"",""sentiment"":0.002}]"
Johnson Matthey raises prospect of investor payout,"[{""target"":""Johnson Matthey"",""aspect"":""Corporate"",""sentiment"":0.281}]"
InterContinental Hotels Denies Reports of Starwood Merger Talks,"[{""target"":""Starwood"",""aspect"":""Corporate"",""sentiment"":-0.078}]"
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,"[{""target"":""Hikma"",""aspect"":""Market"",""sentiment"":0.452}]"
FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.42}]"
AstraZeneca suffers setback after drug fails to treat eye cancer,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":-0.392}]"
British American Tobacco first-half sales hurt by currency moves,"[{""target"":""British American Tobacco"",""aspect"":""Market"",""sentiment"":-0.346}]"
Zurich Insurance Considering Offer for UK Rival RSA Insurance,"[{""target"":""Zurich Insurance"",""aspect"":""Corporate"",""sentiment"":0.25}]"
Japan's Nikkei lands Financial Times in $1.3 billion deal,"[{""target"":""Nikkei"",""aspect"":""Corporate"",""sentiment"":0.262}]"
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients","[{""target"":""Coutts"",""aspect"":""Corporate"",""sentiment"":-0.248},{""target"":""HSBC"",""aspect"":""Corporate"",""sentiment"":-0.251},{""target"":""UBS"",""aspect"":""Corporate"",""sentiment"":-0.281}]"
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,"[{""target"":""Sanofi"",""aspect"":""Corporate"",""sentiment"":0.258}]"
Sainsbury sells unit to LloydsPharmacy,"[{""target"":""Sainsbury"",""aspect"":""Corporate"",""sentiment"":0.234}]"
BAE Systems's sales boosted by European Typhoon and currencies,"[{""target"":""BAE Systems"",""aspect"":""Corporate"",""sentiment"":0.39}]"
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims","[{""target"":""Royal Mail"",""aspect"":""Corporate"",""sentiment"":-0.315}]"
"Britain's FTSE steadies, supported by Dixons Carphone","[{""target"":""Dixons Carphone"",""aspect"":""Stock"",""sentiment"":0.329}]"
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,"[{""target"":""Glaxo"",""aspect"":""Corporate"",""sentiment"":0.284}]"
AstraZeneca sells Caprelsa rights to Sanofi unit,"[{""target"":""Sanofi"",""aspect"":""Corporate"",""sentiment"":0.233}]"
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,"[{""target"":""Barclays"",""aspect"":""Corporate"",""sentiment"":-0.229}]"
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,"[{""target"":""Rio Tinto"",""aspect"":""Stock"",""sentiment"":-0.665}]"
"FTSE led lower by M&S, GlaxoSmithKline","[{""target"":""M&S"",""aspect"":""Market"",""sentiment"":-0.448}]"
GKN to buy Fokker Technologies for 706 mln euros,"[{""target"":""GKN"",""aspect"":""Corporate"",""sentiment"":0.276}]"
