sentence,target,aspect,sentiment
Reed Elsevier share price slides on underwhelming full-year results,Reed Elsevier,Stock,-0.526
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,Meggitt,Stock,0.021
Slump in Weir leads FTSE down from record high,Weir,Market,-0.827
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,Bunzl,Corporate,0.401
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,Lloyds,Corporate,0.522
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,Novartis,Corporate,0.189
Meggitt share price tumbles as profit falls in 'challenging year',Meggitt,Stock,-0.854
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,Astrazeneca,Market,-0.12
ARM Royalties Accelerate as Smartphone Market Regains Strength,ARM,Market,0.571
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,ConAgra,Corporate,0.101
BG Group appoints new CEO one month early,BG Group,Corporate,0.069
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",Lonmin,Corporate,-0.314
U.S. Debt Lures Schroders as ECB Depresses Rates,Schroders,Economy,0.048
Tullow Oil Suspends Dividend Amid Oil Price Fall,Tullow Oil,Corporate,-0.498
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",Royal Dutch Shell,Corporate,-0.402
Standard Chartered lags on capital worries,Standard Chartered,Corporate,-0.358
Standard Life share price: Insurer buys advice firm Pearson Jones,Standard Life,Corporate,0.364
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Dixons Carphone,Corporate,0.129
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Tesco,Corporate,0.295
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,MillerCoors,Stock,0.495
RBS will reportedly appoint Howard Davies as its next chairman,RBS,Corporate,0.089
HSBC Hit by Fresh Details of Tax Evasion Claims,HSBC,Corporate,-0.594
Relief for Lewis as Tesco sees sales grow for first time in a year,Tesco,Corporate,0.42
Morrisons finance chief to fill gap as CEO leaves early,Morrisons,Corporate,-0.114
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",Persimmon,Stock,0.937
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,Lafarge Holcim,Corporate,0.365
Tesco shareholders back ITV head for chairman,Tesco,Corporate,0.139
"Buffett's Berkshire builds Deere stake, dumps Exxon",Deere,Stock,0.316
"Buffett's Berkshire builds Deere stake, dumps Exxon",Exxon,Stock,-0.548
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,Aviva,Corporate,-0.675
AstraZeneca's patent on asthma drug invalidated by US court,AstraZeneca,Corporate,-0.656
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,Rolls-Royce,Corporate,-0.075
Whitbread share price climbs on Q4 sales growth,Whitbread,Stock,0.513
Warren Buffett defends Berkshire Hathaway's conglomerate structure,Berkshire Hathaway,Corporate,0.144
G4S sees profits rise but UK contract problems remain,G4S,Corporate,0.252
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,Friends Life,Corporate,0.387
Auto Trader share price surges as company floats on LSE,Auto Trader,Stock,0.655
New Credit Suisse boss faces stiff challenge in Asia,Credit Suisse,Corporate,-0.181
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",Aer Lingus,Corporate,0.284
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",EasyJet,Corporate,0.315
Is It Worth Investing In Tesco PLC And Prudential plc Now?,Tesco PLC,Corporate,0.161
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,Friends Life,Market,0.516
Sainsbury's says to outperform rivals in tough market,Sainsbury,Market,0.536
CompaniesKingfisher bid for Mr Bricolage runs into trouble,Mr Bricolage,Corporate,-0.253
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,Auto Trader,Stock,0.641
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",Ashtead,Market,0.514
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",Barclays,Market,-0.657
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",Tailor Wimpey,Market,0.508
GSK and Novartis complete deals to reshape both drugmakers,Novartis,Corporate,0.264
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",Friends Life,Corporate,0.39
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,OneMain,Corporate,0.283
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,Springleaf,Corporate,0.225
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",Tullow,Stock,0.544
British American Tobacco drops and sues PwC over pollution scandal,PwC,Stock,-0.437
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,Prudential,Market,-0.651
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",Cadbury's,Corporate,-0.158
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",Kraft,Corporate,-0.179
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,Kraft,Corporate,0.214
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,Daiichi Sankyo,Corporate,0.364
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,Movantik,Corporate,0.369
RBI surprises Street; Sensex pares gains after hitting mount 30k,Sensex,Stock,-0.216
Credit Suisse poaches Prudential's Thiam for Asian push,Credit Suisse,Corporate,0.125
Credit Suisse poaches Prudential's Thiam for Asian push,Prudential,Corporate,-0.031
Kingfisher takeover of Mr Bricolage could hit a brick wall,Mr Bricolage,Corporate,-0.311
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",Shell,Stock,-0.508
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,Friends Life,Stock,0.053
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,Daiichi Sankyo,Corporate,0.361
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,MOVANTIK,Corporate,0.454
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,MediaCityUK,Stock,0.379
Randgold profit hit by poor gold price but dividend still increases,Rangold,Corporate,-0.052
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",Travis Perkins,Corporate,0.494
Market Report: Aviva tops the market as traders approve of its choice of Friends,Friends,Market,0.443
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,Standard Bank,Corporate,0.025
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",AstraZeneca,Corporate,0.143
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",Takeda,Corporate,-0.198
CompaniesDiageo stays neutral on India boardroom turmoil,Diageo,Corporate,0.0
Germanwings disaster will not affect image of budget air travel - easyJet,Germanwings,Corporate,-0.046
Germanwings disaster will not affect image of budget air travel - easyJet,easyJet,Corporate,0.096
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,Shell,Corporate,-0.345
Shell offers 50 percent premium to buy BG for $70 billion,Shell,Corporate,0.193
WPP boosts sales despite cautious clients,WPP,Corporate,0.251
Shell to buy BG Group in $69.7 billion takeover,Shell,Corporate,0.25
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,Standard Chartered,Stock,0.556
UPDATE 1-BP shareholders back more disclosure on climate change risks,BP,Corporate,0.037
Shell challenges Exxon dominance with 47 billion-pound bid for BG,Exxon,Corporate,-0.196
Shell challenges Exxon dominance with 47 billion-pound bid for BG,Shell,Corporate,0.078
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,Royal Dutch Shell,Corporate,0.259
City spirits sink after Diageo comes up short with sales slide,Diageo,Corporate,-0.521
Diageo receives reports from United Spirits on financial irregularities involving ...,Diageo,Corporate,-0.255
Diageo receives reports from United Spirits on financial irregularities involving ...,United Spirits,Corporate,-0.272
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,Rolls-Royce,Corporate,0.777
Tesco sales rise shows tentative recovery continues,Tesco,Corporate,0.256
Diageo sales disappoint as currency and comparatives leave bitter taste,Diageo,Corporate,-0.545
AstraZeneca profit down as sales of stalwarts fade,AstraZeneca,Corporate,-0.405
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",Whitbread,Corporate,0.385
Glencore blames rivals for creating metals glut,Glencore,Corporate,-0.331
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,GlaxoSmithKline,Corporate,-0.221
easyJet leads Britain's FTSE lower as global bond rout resumes,easyJet,Market,-0.495
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,Imperial Tobacco,Corporate,0.336
BG Group Still Happy With Shell's $70 Billion Offer,Shell,Corporate,0.235
SABMiller buys Meantime to quench thirst for craft beer,SABMiller,Corporate,0.296
Aviva shuts Friends Life head office in rapid integration move,Friends Life,Corporate,-0.09
Retailers Kingfisher and Sports Direct rise in Britain's share index,Sports Direct,Stock,0.459
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",GlaxoSmithKline,Stock,0.229
Tesco share price closes higher as two more directors leave grocer,Tesco,Stock,0.354
Tesco leads FTSE higher on Clubcard bid reports,Tesco,Corporate,0.453
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,Eli Lilly & Co,Stock,0.516
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",Old Mutual,Corporate,0.724
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",BP,Corporate,-0.121
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",Halliburton,Corporate,-0.042
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,GlaxoSmithKline,Stock,-0.408
Glencore chief blames rivals' overproduction for share price fall,Glencore,Stock,-0.301
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",BAT,Corporate,-0.152
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",Philip Morris,Corporate,-0.152
Hargreaves Lansdown share price falls as costs mount - although pensions ...,Hargreaves Lansdown,Stock,-0.514
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",Centrica,Corporate,0.195
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",Serco,Corporate,0.122
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,Integrated Silicon Solution,Stock,0.461
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",RBS,Corporate,-0.69
MillerCoors Board Names Gavin Hattersley Interim CEO,MillerCoors,Corporate,0.0
"Britain's FTSE gains, Land Securities up after dividend hike",Land Securities,Corporate,0.549
"Britain's FTSE bounces back, Mondi and Barratt lead",Barratt,Stock,0.558
"Britain's FTSE bounces back, Mondi and Barratt lead",Mondi,Stock,0.552
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,Old Mutual,Corporate,0.689
Do it for me' trend underpins UK sales growth at Kingfisher,Kingfisher,Corporate,0.304
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",Lidl,Corporate,0.372
"Centrica extends gas deals with Gazprom, Statoil",Gazprom,Corporate,0.199
"Centrica extends gas deals with Gazprom, Statoil",Statoil,Corporate,0.239
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",Aberdeen AM,Market,-0.364
Severn Trent share price jumps as Canadian investor renews pursuit of utility,Severn Trent,Stock,0.433
New Morrisons duo get former boss's support to diffuse investor tension,Morrisons,Corporate,0.143
S&P downgrades Barclays and RBS on government bailout fears,RBS,Stock,-0.53
Irish housebuilder Cairn Homes plans London listing,Cairn Homes,Stock,0.189
Arm slammed by handset sales outlook,Arm,Corporate,-0.41
CompaniesLSE adds ex-SEC head Schapiro to board,LSE,Corporate,0.076
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,Tesco,Corporate,-0.41
FTSE 100 flat; Standard Chartered leads risers,Standard Chartered,Stock,0.589
CompaniesHoward Davies appointment as RBS director delayed,RBS,Corporate,-0.025
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,Standard Life,Corporate,-0.09
Dixons Carphone profit boost on strong sales,Dixons Carphone,Corporate,0.478
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",Sainsbury,Stock,0.334
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",StanChart,Market,0.465
"Royal Mail, Johnson Matthey lead FTSE lower",Royal Mail,Market,-0.438
Sainsbury sales slip again as price pressures take a toll,Sainsbury,Stock,-0.303
Sophos aims to raise $100m in London IPO,Sophos,Stock,0.214
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,Lehman,Corporate,0.164
Borealis Infrastructure putting together new Severn Trent bid,Severn Trent,Corporate,0.214
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",easyjet,Corporate,-0.414
Johnson Matthey share price slumps as company posts full-year results,Johnson Matthey,Stock,-0.626
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,Barclays,Corporate,0.199
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,Lehman,Corporate,0.239
Petrofac books further Â£30m cost for Shetland gas terminal delays,Petrofac,Corporate,-0.343
Petrofac share price rises despite Â£30m costs on North Sea project,Petrofac,Stock,0.09
Whitbread boss Andy Harrison defends sales fall as 'just a blip',Whitbread,Corporate,-0.1
Barclays share price subdued as bank faces fresh forex probe,Barclays,Stock,-0.373
CompaniesActelion shares hit record on Shire takeover talk,Actelion,Corporate,0.721
CompaniesActelion shares hit record on Shire takeover talk,Shire,Corporate,0.345
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,LSE,Corporate,0.247
Diageo Shares Surge on Report of Possible Takeover by Lemann,Lemann,Stock,0.415
RBS chairman admits surprise at size of regulatory penalties,RBS,Corporate,-0.333
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,Towergate,Corporate,0.002
Johnson Matthey raises prospect of investor payout,Johnson Matthey,Corporate,0.281
InterContinental Hotels Denies Reports of Starwood Merger Talks,Starwood,Corporate,-0.078
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,Hikma,Market,0.452
FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,AstraZeneca,Corporate,0.42
AstraZeneca suffers setback after drug fails to treat eye cancer,AstraZeneca,Corporate,-0.392
British American Tobacco first-half sales hurt by currency moves,British American Tobacco,Market,-0.346
Zurich Insurance Considering Offer for UK Rival RSA Insurance,Zurich Insurance,Corporate,0.25
Japan's Nikkei lands Financial Times in $1.3 billion deal,Nikkei,Corporate,0.262
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",Coutts,Corporate,-0.248
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",HSBC,Corporate,-0.251
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",UBS,Corporate,-0.281
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,Sanofi,Corporate,0.258
Sainsbury sells unit to LloydsPharmacy,Sainsbury,Corporate,0.234
BAE Systems's sales boosted by European Typhoon and currencies,BAE Systems,Corporate,0.39
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",Royal Mail,Corporate,-0.315
"Britain's FTSE steadies, supported by Dixons Carphone",Dixons Carphone,Stock,0.329
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,Glaxo,Corporate,0.284
AstraZeneca sells Caprelsa rights to Sanofi unit,Sanofi,Corporate,0.233
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,Barclays,Corporate,-0.229
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,Rio Tinto,Stock,-0.665
"FTSE led lower by M&S, GlaxoSmithKline",M&S,Market,-0.448
GKN to buy Fokker Technologies for 706 mln euros,GKN,Corporate,0.276
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,Ennismore Group,Corporate,0.198
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,Gleneagles Hotel,Corporate,0.237
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",CIB,Corporate,0.148
Chime Communications Set To Be Acquired By WPP And Providence,WPP,Corporate,0.202
"CompaniesNew Aggreko CEO to reshape business, strip costs",Aggreko,Corporate,0.177
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,Inovio,Corporate,0.33
Rio Tinto CEO says iron ore market at equilibrium,Rio Tinto,Market,0.0
US sanctions put Gazprom-Shell alliance plans in jeopardy,Shell,Economy,-0.314
Standard Chartered Not Raising Capital Yet As Dividend Cut,Standard Chartered,Corporate,-0.158
"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn",BHP,Corporate,-0.338
CRH adds CR Laurence to acquisitions tally for $1.3bn,CRH,Corporate,0.231
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,Novartis,Corporate,0.217
"AstraZeneca bags another cancer drug deal, this time with Inovio",Inovio,Corporate,0.316
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,AXA,Market,-0.398
"L&G still paying price for dividend cut during crisis, chief says",L&G,Corporate,-0.338
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,Berkshire Hathaway Inc.,Corporate,-0.566
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,Travis Perkins,Corporate,0.769
"Tesco, Asda sales fall as march of the discounters continues: Kantar",Tesco,Corporate,-0.398
Shire proposes $30 bln all-share tie-up with Baxalta,Shire,Corporate,0.22
Shire CEO steps up drive to get Baxalta board talking,Shire,Corporate,0.124
"Tesco, Asda sales fall as march of the discounters continues-Kantar",Asda,Corporate,-0.356
Verizon and AT&T accused of hurting rivals,Verizon,Corporate,-0.446
"FTSE 100 falls as China devaluation hits Burberry, mining stocks",Burberry,Market,-0.479
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",Citi,Corporate,-0.647
CompaniesCar insurer Hastings Group driving Â£180m IPO,Hastings Group,Stock,0.302
Glencore slumps 25 pct as debt fears grow,Glencore,Corporate,-0.718
Horizonte acquires neighbouring Glencore nickel property in Brazil,Horizonte,Corporate,0.182
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,Morrissons,Corporate,0.078
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,Morrissons,Corporate,-0.731
Glencore slumps 30 percent as debt fears grow,Glencore,Corporate,-0.781
Aberdeen Asset Management Gains Foothold In China,Aberdeen Asset Managment,Corporate,0.357
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,ARM Holdings,Corporate,0.273
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,IBM,Corporate,0.345
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",Glencore,Stock,-0.597
"After Barclays and Bank of America, Citigroup has blockchain in sight",Barclays,Corporate,0.198
"After Barclays and Bank of America, Citigroup has blockchain in sight",Citigroup,Corporate,0.224
AB InBev approaches SABMiller to explore $250bn tie-up,SAB Miller,Corporate,0.237
EU regulator backs approval for GSK injectable asthma drug,GSK,Corporate,0.379
Glencore fight back over debt fears lifts shares,Glencore,Corporate,0.278
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",Ashtead,Stock,0.461
Brewer AB InBev seeks $275 bln tie-up with SABMiller,SABMiller,Corporate,0.295
AB InBev looks to win over SABMiller investors,SABMiller,Corporate,0.276
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,GSK,Corporate,0.418
Copper market may get a 2003-style supply shock from Glencore closures,Glencore,Market,-0.571
TalkTalk hires BAE Systems to investigate cyber attack,TalkTalk,Corporate,-0.113
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,SAB Miller,Corporate,0.236
CompaniesAB InBev signals it won't go hostile for SABMiller,SAB Miller,Corporate,0.107
AstraZeneca diabetes drug combination faces delay after FDA rebuff,AstraZeneca,Corporate,-0.391
Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,Mylan,Corporate,0.0
SABMiller revenue hit by weaker EM currencies,SAB Miller,Market,-0.439
UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,SAB Miller,Corporate,0.172
Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,Standard Chartered,Market,0.008
AB InBev offers SABMiller $3 billion breakup fee,SAB Miller,Corporate,0.197
GSK joins China trade push as UK trumpets healthcare deals,GSK,Economy,0.294
AB InBev ups offer for SABMiller as deadline looms,SAB Miller,Corporate,0.257
Tesco PLC's Recovery Continues With A Â£250m Cash Infusion,Tesco,Stock,0.337
"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",Glencore,Market,0.162
CompaniesUnilever sales lifted by ice cream in soft economy,Unilever,Corporate,0.383
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,SABMiller,Corporate,0.127
Britain's FTSE forges ahead as Shire surges,Shire,Stock,0.512
AB InBev attacks SABMiller bid rebuffal,SABMiller,Corporate,-0.158
Anheuser-Busch InBev Increases Offer for Rival SABMiller,SABMiller,Corporate,0.24
Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,BHP Billiton,Corporate,0.424
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,Lloyds,Corporate,0.434
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,Lufthansa,Corporate,-0.227
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",CNPC,Corporate,0.318
SAB's Chairman Digs In With Board Divided on InBev Offer,SABMiller,Corporate,0.016
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,Kinder Morgan,Corporate,0.225
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,ExxonMobil,Corporate,-0.459
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,Standard Chartered,Stock,-0.812
WPP wins race for 'programmatic buying' agency Essence Digital,WPP,Corporate,0.238
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,Samarco,Corporate,-0.637
G4S slides on balance sheet worries,G4S,Corporate,-0.593
FDA approves AstraZeneca drug for advanced lung cancer,AstraZeneca,Corporate,0.507
HSBC appoints business leaders to board,HSBC,Corporate,0.154
"HSBC shakes up board with two new business chiefs, three departures",HSBC,Corporate,-0.074
AstraZeneca wins FDA approval for key new lung cancer pill,AstraZeneca,Corporate,0.549
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,Lloyds,Corporate,-0.266
Standard Chartered Shifts Emerging-Markets Strategy After Losses,Standard Chartered,Corporate,-0.461
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,AstraZeneca,Corporate,0.393
Severn Trent share price rises as first half profit inches up as customer ...,Severn Trent,Stock,0.526
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,Glencore,Corporate,0.037
Lloyds to cut 945 jobs as part of three-year restructuring strategy,Lloyds,Corporate,-0.532
AstraZeneca to Buy ZS Pharma for $2.7 Billion,ZS Pharma,Corporate,0.593
"Ackman, in email, says supports Valeant CEO Pearson",Valeant,Corporate,0.166
AstraZeneca sells US drug rights to Perrigo for $380 mln,Perrigo,Corporate,0.326
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",ZS Pharma,Corporate,0.468
CORRECTED-Shire to buy Dyax for about $5.9 bln,Shire,Corporate,0.402
Barclays poised to replace Sir Mike Rake as he heads for exit,Barclays,Corporate,0.077
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,ZS Pharma,Corporate,0.52
AstraZeneca shares climb 3% as drug maker ups profits forecasts,AstraZeneca,Stock,0.64
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,SABMiller,Corporate,0.551
easyJet expects resilient demand to withstand security fears,easyJet,Corporate,0.165
Compass Group says positive for year ahead,Compass Group,Stock,0.634
US dollar wipes out sales gains for SABMiller,SABMiller,Corporate,-0.582
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",SABMiller,Corporate,0.043
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,SABMiller,Corporate,0.429
Valeant CEO Pledges to Heed Critics After `Painful' Experience,Valeant,Corporate,-0.381
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Aviva,Corporate,0.324
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",Direct Line Insurance Group PLC,Corporate,0.345
StanChart and RBS struggle in Bank of England stress tests,RBS,Economy,-0.738
StanChart and RBS struggle in Bank of England stress tests,Standard Chartered,Corporate,-0.39
Barclays sells benchmark indices unit to Bloomberg,Bloomberg,Corporate,0.281
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Morrisons,Stock,-0.251
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Sainsbury,Corporate,-0.259
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",Tesco,Stock,-0.222
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Shell,Stock,0.276
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",Statoil,Stock,0.294
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,AstraZeneca,Corporate,0.372
Shell and BG Shareholders to Vote on Deal at End of January,Shell,Corporate,0.0
